order_id,delivered,delivered_by,release_time,deadline,completion_time,is_late,x,y
0,1,0,35,51,41,0,3.1971339922894186,0.12505377611333468
1,1,1,114,141,124,0,3.682356070820062,3.3834974371145563
2,0,,27,40,,0,2.1096090984263522,0.14898609719035172
3,1,4,89,109,100,0,2.806225314693065,3.5800980646120175
4,1,9,111,122,120,0,2.2460452314192683,1.3909535411533136
5,1,0,19,34,29,0,3.4906969749411343,1.7012525825899594
6,1,3,45,97,48,0,0.5110513825992435,1.8996365031866869
7,1,1,58,86,76,0,1.3226043361100652,0.21725221461548594
8,1,1,80,106,92,0,0.39400099039229086,1.4658914070354645
9,1,0,5,34,12,0,2.88676072628381,3.5228591810746175
10,1,6,29,75,44,0,1.4469398180105357,0.3989598846181375
11,1,7,46,61,54,0,1.3898680155504606,3.178422221322001
12,1,9,119,140,130,0,1.0475351538574385,1.334889110245567
13,1,0,93,111,96,0,3.045655028334941,0.8556932409904849
14,1,7,81,106,91,0,1.897277208788239,4.9476167531829764
15,1,4,99,111,105,0,3.423071254949373,4.214259600949048
16,1,2,8,24,17,0,4.025229003856071,2.0058239351116445
17,1,8,113,158,127,0,1.063132720270703,2.4961562974613867
18,1,8,95,121,104,0,0.7143579522103133,0.6981515976275315
19,1,0,74,95,85,0,3.7350690582612893,2.1421691364728983
20,1,0,63,79,70,0,4.986628889945805,0.6916587244542793
21,1,5,20,48,27,0,4.3055145483333295,0.7642065967413053
22,1,6,76,121,81,0,2.982045153659869,1.9238365583725003
23,1,6,120,131,130,0,1.2570705999090659,2.7661294810764376
24,1,2,34,56,45,0,3.408551845132874,2.684851652043976
25,1,4,58,74,71,0,0.5577608679793822,2.173826253345525
26,1,2,64,108,71,0,4.859440494350571,3.809810995260323
27,1,2,25,38,35,0,4.208346740862336,2.538314409888171
28,1,8,67,117,84,0,2.6968951505981287,3.8931323931527912
29,1,0,118,152,131,0,1.6207802850233655,0.09738371192916151
30,1,0,112,135,128,0,1.5375706270133072,0.28962583247093776
31,1,4,8,58,19,0,0.4282672603393939,2.4299523165830688
32,1,0,60,99,64,0,3.8291721465349386,0.641957322498814
33,1,7,54,105,60,0,1.3252831447002955,4.362165205426287
34,1,6,91,107,98,0,3.7763259831790275,3.4493381604981073
35,1,6,15,23,20,0,2.1905004195725204,2.587879205177953
36,1,7,29,46,33,0,1.6904278107372765,2.9415435922861666
37,1,7,29,42,40,0,0.3549654300451627,3.1555147863504946
38,1,1,30,52,36,0,4.298177001268733,0.3542867494432672
39,1,9,119,171,135,0,1.071184036852193,0.661559243625125
40,1,6,103,122,117,0,2.3633551315589707,3.923097121453767
41,1,6,54,85,66,0,0.4846540711441166,2.1552559120318877
42,1,4,82,101,89,0,0.2708559361608526,3.267277441328958
43,1,0,13,28,18,0,3.6410679422059133,4.002962554308494
44,1,0,23,38,36,0,2.681428769551722,0.7009114854738724
45,1,5,103,156,108,0,4.3724297703529,0.3769244418714468
46,1,7,69,105,75,0,0.48954364100800174,3.2607244699926103
47,0,,21,51,,0,4.631834915040638,4.243478672071527
48,1,1,7,18,17,0,1.0687364959959083,2.005201462747263
49,1,3,100,126,108,0,4.92654421889863,1.3260152908607599
50,1,1,100,132,114,0,2.1150374299508146,4.786588204298366
51,1,6,27,77,38,0,2.4333570582716475,0.9494893363381857
52,1,0,40,61,45,0,3.678685893945217,0.3047878573825791
53,1,4,20,32,32,0,2.5142519145975677,4.263599460241426
54,1,5,8,34,23,0,4.2567127267206075,0.34260666351896174
55,0,,72,85,,0,2.0188777565913876,4.707980636145447
56,1,3,74,95,79,0,3.0969075516605153,2.0961245766793626
57,1,5,91,109,97,0,4.6735312886821365,1.021295997117682
58,1,6,38,67,57,0,1.9789292339562725,3.3584511147998564
59,1,3,79,119,101,0,4.678671437224117,0.04657728442123199
60,1,3,33,52,39,0,0.366303605498165,1.0657715613352021
61,1,8,47,68,57,0,4.4043208684321975,4.396351212422714
62,1,3,78,127,87,0,4.168724773199035,3.5176996254368547
